run, subrun, event, track-id, start wire, start time-tick, end wire, end time-tick 
5921, 90, 4547, 9, 1023, 5119.65, 1041, 5124.92
5921, 104, 5222, 6, 2338, 1615.96, 2344, 1726.51
5921, 109, 5466, 0, 2591, 4025.62, 2601, 4137.42
5921, 112, 5617, 5, 1655, 4013.13, 1676, 4036.3
5921, 136, 6832, 6, 1548, 5308.21, 1573, 5360.15
5921, 138, 6901, 5, 1132, 2459.06, 1152, 2510.84
5921, 138, 6949, 3, 1954, 3239.74, 1964, 3241.92
5921, 153, 7681, 10, 1170, 4978.25, 1171, 5000.87
5921, 155, 7755, 4, 2594, 2972.7, 2668, 2975.64
5923, 16, 845, 1, 456, 3593.47, 457, 3655.65
5923, 29, 1487, 9, 2666, 3316.98, 2676, 3423.98
5924, 22, 1127, 6, 798, 1077.31, 834, 1320.7
5924, 28, 1442, 7, 2019, 2838.54, 2025, 2841.99
5924, 34, 1715, 6, 1432, 2613.02, 1435, 2615.06
5924, 36, 1846, 8, 2727, 4958.32, 2737, 5008.28
5924, 39, 1981, 1, 3183, 5305.99, 3184, 5343.41
5925, 9, 499, 10, 559, 4523.13, 577, 4575.96
5925, 11, 576, 11, 1352, 3019.2, 1354, 3023.06
5925, 19, 980, 10, 989, 2959, 1012, 3128.73
5925, 60, 3007, 7, 2573, 4828.17, 2580, 4885.92
5925, 60, 3014, 5, 2067, 4410.69, 2078, 4454.65
5925, 65, 3259, 3, 3185, 2245.36, 3202, 2329.04
5925, 71, 3599, 5, 462, 3574.58, 509, 3719.86
5925, 80, 4008, 4, 301, 4473.94, 323, 4544.43
5925, 86, 4319, 10, 2604, 4456.02, 2619, 4513.56
5925, 106, 5326, 7, 289, 2054.53, 301, 2097.68
5925, 119, 5969, 28, 1941, 3881.83, 1950, 3907.73
5925, 121, 6060, 9, 97, 2923.57, 108, 2953.05
5925, 139, 6968, 11, 57, 1269.57, 70, 1274.09
5925, 145, 7272, 10, 1151, 3738.78, 1152, 3814.25
5925, 148, 7427, 0, 2120, 1335.18, 2127, 1382.59
